deliveryIndex,timestamp,alpha,beta,evaporationRate,Q,acoLength,acoPath,dijkstraLength,dijkstraPath,ratio
1,5.47,1.00,1.00,0.050,10000,212.74,Y->G->J->O,212.74,Y->G->J->O,1.0000
2,6.06,1.00,1.00,0.050,10000,389.49,Y->G->D->A->B->E->F->J->O,212.74,Y->G->J->O,1.8308
3,6.78,1.00,1.00,0.050,10000,428.46,Y->D->C->F->J->N->Q->U->R->O,212.74,Y->G->J->O,2.0140
4,7.25,1.00,1.00,0.050,10000,306.76,Y->G->S->P->O,212.74,Y->G->J->O,1.4419
5,7.48,1.00,1.00,0.050,10000,332.67,Y->D->A->C->F->J->O,212.74,Y->G->J->O,1.5637
6,8.07,1.00,1.00,0.050,10000,212.74,Y->G->J->O,212.74,Y->G->J->O,1.0000
7,8.29,1.00,1.00,0.050,10000,306.76,Y->G->S->P->O,212.74,Y->G->J->O,1.4419
8,8.72,1.00,1.00,0.050,10000,292.23,Y->D->G->K->P->O,212.74,Y->G->J->O,1.3736
9,8.86,1.00,1.00,0.050,10000,510.23,Y->G->D->A->C->B->E->M->Q->N->J->O,212.74,Y->G->J->O,2.3984
10,9.35,1.00,1.00,0.050,10000,531.69,Y->G->J->N->Q->R->U->W->S->P->O,212.74,Y->G->J->O,2.4992
11,9.48,1.00,1.00,0.050,10000,673.89,Y->G->D->A->C->B->E->N->Q->M->L->I->E->F->J->O,212.74,Y->G->J->O,3.1676
12,9.64,1.00,1.00,0.050,10000,676.86,Y->G->D->C->B->F->E->N->M->L->U->R->Q->R->O,212.74,Y->G->J->O,3.1816
13,10.50,1.00,1.00,0.050,10000,306.76,Y->G->S->P->O,212.74,Y->G->J->O,1.4419
14,11.04,1.00,1.00,0.050,10000,223.74,Y->G->K->P->O,212.74,Y->G->J->O,1.0517
15,11.15,1.00,1.00,0.050,10000,833.13,Y->D->C->A->B->E->N->Q->U->W->S->G->J->O,212.74,Y->G->J->O,3.9161
16,11.42,1.00,1.00,0.050,10000,551.08,Y->G->J->F->C->D->A->B->E->M->Q->R->O,212.74,Y->G->J->O,2.5904
17,11.98,1.00,1.00,0.050,10000,685.07,Y->D->G->J->N->Q->R->U->W->S->T->S->P->O,212.74,Y->G->J->O,3.2202
18,11.99,1.00,1.00,0.050,10000,803.86,Y->G->K->P->S->V->S->T->S->W->U->L->M->Q->R->O,212.74,Y->G->J->O,3.7786
19,12.11,1.00,1.00,0.050,10000,212.74,Y->G->J->O,212.74,Y->G->J->O,1.0000
20,12.67,1.00,1.00,0.050,10000,223.74,Y->G->K->P->O,212.74,Y->G->J->O,1.0517
21,13.12,1.00,1.00,0.050,10000,212.74,Y->G->J->O,212.74,Y->G->J->O,1.0000
22,13.54,1.00,1.00,0.050,10000,484.85,Y->G->S->T->S->V->S->P->O,212.74,Y->G->J->O,2.2791
